2024-03-09 03:37:42,698 - TeaMonitor Computer Network Activity -INFO - Соединение 36: Имя процесса: steam.exe, PID: 8548, Протокол: 192.168.1.168, Порт: 27036, Тип соединения: UDP
2024-03-09 03:37:42,698 - TeaMonitor Computer Network Activity -INFO - Соединение 37: Имя процесса: steam.exe, PID: 8548, Протокол: 127.0.0.1, Порт: 60680, Тип соединения: TCP
2024-03-09 03:37:42,703 - TeaMonitor Computer Network Activity -INFO - Соединение 38: Имя процесса: svchost.exe, PID: 13696, Протокол: ::1, Порт: 53417, Тип соединения: UDP
2024-03-09 03:37:42,703 - TeaMonitor Computer Network Activity -INFO - Соединение 39: Имя процесса: msedge.exe, PID: 18824, Протокол: ::, Порт: 5353, Тип соединения: UDP
2024-03-09 03:37:42,703 - TeaMonitor Computer Network Activity -INFO - Соединение 40: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54556, Тип соединения: TCP
2024-03-09 03:37:42,707 - TeaMonitor Computer Network Activity -INFO - Соединение 41: Имя процесса: svchost.exe, PID: 7716, Протокол: 0.0.0.0, Порт: 5050, Тип соединения: UDP
2024-03-09 03:37:42,707 - TeaMonitor Computer Network Activity -INFO - Соединение 42: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54533, Тип соединения: TCP
2024-03-09 03:37:42,712 - TeaMonitor Computer Network Activity -INFO - Соединение 43: Имя процесса: spoolsv.exe, PID: 3324, Протокол: 0.0.0.0, Порт: 49668, Тип соединения: TCP
2024-03-09 03:37:42,712 - TeaMonitor Computer Network Activity -INFO - Соединение 44: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54536, Тип соединения: TCP
2024-03-09 03:37:42,712 - TeaMonitor Computer Network Activity -INFO - Соединение 45: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54568, Тип соединения: TCP
2024-03-09 03:37:42,712 - TeaMonitor Computer Network Activity -INFO - Соединение 46: Имя процесса: browser.exe, PID: 16140, Протокол: 0.0.0.0, Порт: 5353, Тип соединения: UDP
2024-03-09 03:37:42,712 - TeaMonitor Computer Network Activity -INFO - Соединение 47: Имя процесса: steamwebhelper.exe, PID: 2432, Протокол: 127.0.0.1, Порт: 61340, Тип соединения: TCP
2024-03-09 03:37:42,712 - TeaMonitor Computer Network Activity -INFO - Соединение 48: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54577, Тип соединения: TCP
2024-03-09 03:37:42,717 - TeaMonitor Computer Network Activity -INFO - Соединение 49: Имя процесса: wininit.exe, PID: 1124, Протокол: 0.0.0.0, Порт: 49665, Тип соединения: TCP
2024-03-09 03:37:42,717 - TeaMonitor Computer Network Activity -INFO - Соединение 50: Имя процесса: steam.exe, PID: 8548, Протокол: 127.0.0.1, Порт: 60680, Тип соединения: TCP
2024-03-09 03:37:42,717 - TeaMonitor Computer Network Activity -INFO - Соединение 51: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 63342, Тип соединения: TCP
